subject	roi_set	roi	condition	condition_label	mean_reliability	n_items
sub-01	meta_metaphor	meta_L_AG	yy	YY	0.13399314657856526	35
sub-01	meta_metaphor	meta_L_AG	kj	KJ	-0.06401360593769892	35
sub-01	meta_metaphor	meta_L_IFG	yy	YY	0.1921191511388167	35
sub-01	meta_metaphor	meta_L_IFG	kj	KJ	0.06811957354887951	35
sub-01	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	0.06238455764802497	35
sub-01	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	0.048332105405116024	35
sub-01	meta_metaphor	meta_L_temporal_pole	yy	YY	0.06995475482226796	35
sub-01	meta_metaphor	meta_L_temporal_pole	kj	KJ	-0.01710679125070777	35
sub-01	meta_metaphor	meta_R_AG	yy	YY	0.12687693207035894	35
sub-01	meta_metaphor	meta_R_AG	kj	KJ	0.11650843390847217	35
sub-01	meta_metaphor	meta_R_IFG	yy	YY	-0.05859516965867039	35
sub-01	meta_metaphor	meta_R_IFG	kj	KJ	-0.009281326080936247	35
sub-01	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	0.0667083039121379	35
sub-01	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	-0.019350660540436947	35
sub-01	meta_metaphor	meta_R_temporal_pole	yy	YY	0.01653719203194696	35
sub-01	meta_metaphor	meta_R_temporal_pole	kj	KJ	0.03893258500178681	35
sub-02	meta_metaphor	meta_L_AG	yy	YY	0.3942099823798888	35
sub-02	meta_metaphor	meta_L_AG	kj	KJ	0.16005538406440714	35
sub-02	meta_metaphor	meta_L_IFG	yy	YY	0.33080185046069965	35
sub-02	meta_metaphor	meta_L_IFG	kj	KJ	0.23840525854478112	35
sub-02	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	-0.09501182130014042	35
sub-02	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	-0.02005660653853603	35
sub-02	meta_metaphor	meta_L_temporal_pole	yy	YY	0.1679119103992061	35
sub-02	meta_metaphor	meta_L_temporal_pole	kj	KJ	0.14315684934220085	35
sub-02	meta_metaphor	meta_R_AG	yy	YY	0.11451873325011684	35
sub-02	meta_metaphor	meta_R_AG	kj	KJ	-0.02744336846214534	35
sub-02	meta_metaphor	meta_R_IFG	yy	YY	0.06605032095280003	35
sub-02	meta_metaphor	meta_R_IFG	kj	KJ	-0.003912090363153044	35
sub-02	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	0.13805083196525605	35
sub-02	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	-0.08643908860823807	35
sub-02	meta_metaphor	meta_R_temporal_pole	yy	YY	0.2621524459609349	35
sub-02	meta_metaphor	meta_R_temporal_pole	kj	KJ	0.1841976371498396	35
sub-03	meta_metaphor	meta_L_AG	yy	YY	0.33212989122684206	35
sub-03	meta_metaphor	meta_L_AG	kj	KJ	0.17590375260072946	35
sub-03	meta_metaphor	meta_L_IFG	yy	YY	0.12466451824242732	35
sub-03	meta_metaphor	meta_L_IFG	kj	KJ	0.1689570050831014	35
sub-03	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	0.42800576521656447	35
sub-03	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	0.34590362208252057	35
sub-03	meta_metaphor	meta_L_temporal_pole	yy	YY	-0.03545500835453804	35
sub-03	meta_metaphor	meta_L_temporal_pole	kj	KJ	-0.05266985637290006	35
sub-03	meta_metaphor	meta_R_AG	yy	YY	0.143152316081688	35
sub-03	meta_metaphor	meta_R_AG	kj	KJ	0.10014395593122949	35
sub-03	meta_metaphor	meta_R_IFG	yy	YY	-0.0534822871702665	35
sub-03	meta_metaphor	meta_R_IFG	kj	KJ	-0.01705852124825467	35
sub-03	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	-0.04791322395229865	35
sub-03	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	-0.07278873119616977	35
sub-03	meta_metaphor	meta_R_temporal_pole	yy	YY	-0.02619968439395286	35
sub-03	meta_metaphor	meta_R_temporal_pole	kj	KJ	-0.02168245327098161	35
sub-04	meta_metaphor	meta_L_AG	yy	YY	0.12006568446012549	35
sub-04	meta_metaphor	meta_L_AG	kj	KJ	0.17215714178271452	35
sub-04	meta_metaphor	meta_L_IFG	yy	YY	-0.03959313693804529	35
sub-04	meta_metaphor	meta_L_IFG	kj	KJ	0.0701289729811317	35
sub-04	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	0.20043304744341042	35
sub-04	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	0.16364987014600893	35
sub-04	meta_metaphor	meta_L_temporal_pole	yy	YY	0.04398876366960522	35
sub-04	meta_metaphor	meta_L_temporal_pole	kj	KJ	0.05815829110982777	35
sub-04	meta_metaphor	meta_R_AG	yy	YY	0.013938457993535965	35
sub-04	meta_metaphor	meta_R_AG	kj	KJ	-0.014043313817951313	35
sub-04	meta_metaphor	meta_R_IFG	yy	YY	0.0750098591287154	35
sub-04	meta_metaphor	meta_R_IFG	kj	KJ	-0.058322508256772085	35
sub-04	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	-0.043832149767658125	35
sub-04	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	-0.043281633191036874	35
sub-04	meta_metaphor	meta_R_temporal_pole	yy	YY	-0.039678885687088085	35
sub-04	meta_metaphor	meta_R_temporal_pole	kj	KJ	-0.0022536962017567323	35
sub-05	meta_metaphor	meta_L_AG	yy	YY	0.2677380584033865	35
sub-05	meta_metaphor	meta_L_AG	kj	KJ	0.2311126261790003	35
sub-05	meta_metaphor	meta_L_IFG	yy	YY	0.15066625350519522	35
sub-05	meta_metaphor	meta_L_IFG	kj	KJ	0.2086784109032673	35
sub-05	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	0.08580696243649306	35
sub-05	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	0.07796700246418725	35
sub-05	meta_metaphor	meta_L_temporal_pole	yy	YY	0.005305306819895753	35
sub-05	meta_metaphor	meta_L_temporal_pole	kj	KJ	0.11276698047360906	35
sub-05	meta_metaphor	meta_R_AG	yy	YY	0.06784061874095425	35
sub-05	meta_metaphor	meta_R_AG	kj	KJ	0.022652417764277108	35
sub-05	meta_metaphor	meta_R_IFG	yy	YY	-0.08427030457162597	35
sub-05	meta_metaphor	meta_R_IFG	kj	KJ	-0.017376087706303705	35
sub-05	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	-0.0411379430279099	35
sub-05	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	-0.0273630284036471	35
sub-05	meta_metaphor	meta_R_temporal_pole	yy	YY	-0.03062475881473206	35
sub-05	meta_metaphor	meta_R_temporal_pole	kj	KJ	-0.06934818285757871	35
sub-06	meta_metaphor	meta_L_AG	yy	YY	0.37231037363952074	35
sub-06	meta_metaphor	meta_L_AG	kj	KJ	0.5167868976627545	35
sub-06	meta_metaphor	meta_L_IFG	yy	YY	0.3369641155409816	35
sub-06	meta_metaphor	meta_L_IFG	kj	KJ	0.2549962831387064	35
sub-06	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	0.26380264311208546	35
sub-06	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	0.07137989086469992	35
sub-06	meta_metaphor	meta_L_temporal_pole	yy	YY	0.027466773480593364	35
sub-06	meta_metaphor	meta_L_temporal_pole	kj	KJ	0.07641229409668482	35
sub-06	meta_metaphor	meta_R_AG	yy	YY	-0.10041529072275944	35
sub-06	meta_metaphor	meta_R_AG	kj	KJ	-0.07786001867288354	35
sub-06	meta_metaphor	meta_R_IFG	yy	YY	0.1261592664037044	35
sub-06	meta_metaphor	meta_R_IFG	kj	KJ	0.06661177215422581	35
sub-06	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	-0.04424344693425332	35
sub-06	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	0.06674022503741082	35
sub-06	meta_metaphor	meta_R_temporal_pole	yy	YY	-0.02172985486671088	35
sub-06	meta_metaphor	meta_R_temporal_pole	kj	KJ	-0.024731891364968613	35
sub-07	meta_metaphor	meta_L_AG	yy	YY	0.11198155996105887	35
sub-07	meta_metaphor	meta_L_AG	kj	KJ	0.17625896426665127	35
sub-07	meta_metaphor	meta_L_IFG	yy	YY	0.022890987985403025	35
sub-07	meta_metaphor	meta_L_IFG	kj	KJ	0.0755219305159222	35
sub-07	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	0.17290396213471407	35
sub-07	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	0.11986720747043915	35
sub-07	meta_metaphor	meta_L_temporal_pole	yy	YY	0.01934211831794691	35
sub-07	meta_metaphor	meta_L_temporal_pole	kj	KJ	0.048162863349777305	35
sub-07	meta_metaphor	meta_R_AG	yy	YY	-0.20085290605212783	35
sub-07	meta_metaphor	meta_R_AG	kj	KJ	0.1748264759480936	35
sub-07	meta_metaphor	meta_R_IFG	yy	YY	0.2825094136113533	35
sub-07	meta_metaphor	meta_R_IFG	kj	KJ	0.22467009066845078	35
sub-07	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	0.06241928450102241	35
sub-07	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	0.12966675206041264	35
sub-07	meta_metaphor	meta_R_temporal_pole	yy	YY	0.24720083216965807	35
sub-07	meta_metaphor	meta_R_temporal_pole	kj	KJ	0.2861112834546633	35
sub-08	meta_metaphor	meta_L_AG	yy	YY	0.06962155497549107	35
sub-08	meta_metaphor	meta_L_AG	kj	KJ	-0.030336217978131717	35
sub-08	meta_metaphor	meta_L_IFG	yy	YY	0.06726337211170798	35
sub-08	meta_metaphor	meta_L_IFG	kj	KJ	-0.03714200677979732	35
sub-08	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	0.056997608312192166	35
sub-08	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	0.1556428867787486	35
sub-08	meta_metaphor	meta_L_temporal_pole	yy	YY	0.055675837008414164	35
sub-08	meta_metaphor	meta_L_temporal_pole	kj	KJ	0.054028932440486135	35
sub-08	meta_metaphor	meta_R_AG	yy	YY	0.1375933033150934	35
sub-08	meta_metaphor	meta_R_AG	kj	KJ	0.14780974866238367	35
sub-08	meta_metaphor	meta_R_IFG	yy	YY	0.07916005549236224	35
sub-08	meta_metaphor	meta_R_IFG	kj	KJ	0.22274455966233325	35
sub-08	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	0.011166014178876879	35
sub-08	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	-0.04131488513817879	35
sub-08	meta_metaphor	meta_R_temporal_pole	yy	YY	-0.22361004772819684	35
sub-08	meta_metaphor	meta_R_temporal_pole	kj	KJ	-0.3701210945969086	35
sub-09	meta_metaphor	meta_L_AG	yy	YY	0.1918376460007066	35
sub-09	meta_metaphor	meta_L_AG	kj	KJ	0.1402684591604231	35
sub-09	meta_metaphor	meta_L_IFG	yy	YY	0.09041579088958492	35
sub-09	meta_metaphor	meta_L_IFG	kj	KJ	0.08822149195958845	35
sub-09	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	-0.09856405478530202	35
sub-09	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	0.020381882631510775	35
sub-09	meta_metaphor	meta_L_temporal_pole	yy	YY	-0.031287509070159904	35
sub-09	meta_metaphor	meta_L_temporal_pole	kj	KJ	0.04159345682603769	35
sub-09	meta_metaphor	meta_R_AG	yy	YY	-0.08002649447795925	35
sub-09	meta_metaphor	meta_R_AG	kj	KJ	-0.027490523079062208	35
sub-09	meta_metaphor	meta_R_IFG	yy	YY	0.0920565513310646	35
sub-09	meta_metaphor	meta_R_IFG	kj	KJ	0.15665117909538842	35
sub-09	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	0.10898657943869233	35
sub-09	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	-0.0673542239950911	35
sub-09	meta_metaphor	meta_R_temporal_pole	yy	YY	-0.006889610549332544	35
sub-09	meta_metaphor	meta_R_temporal_pole	kj	KJ	-4.897398448290232e-05	35
sub-10	meta_metaphor	meta_L_AG	yy	YY	0.14665434653846973	35
sub-10	meta_metaphor	meta_L_AG	kj	KJ	0.08519433126978532	35
sub-10	meta_metaphor	meta_L_IFG	yy	YY	0.047679257820540534	35
sub-10	meta_metaphor	meta_L_IFG	kj	KJ	0.08868490629539233	35
sub-10	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	0.12374769466474998	35
sub-10	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	0.07705892277803426	35
sub-10	meta_metaphor	meta_L_temporal_pole	yy	YY	0.07588703176575659	35
sub-10	meta_metaphor	meta_L_temporal_pole	kj	KJ	-0.025628952997228817	35
sub-10	meta_metaphor	meta_R_AG	yy	YY	0.12383106418934887	35
sub-10	meta_metaphor	meta_R_AG	kj	KJ	0.027502219469039125	35
sub-10	meta_metaphor	meta_R_IFG	yy	YY	0.06637942726840704	35
sub-10	meta_metaphor	meta_R_IFG	kj	KJ	-0.05386915756558118	35
sub-10	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	-0.006133504781480021	35
sub-10	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	0.013232878301293946	35
sub-10	meta_metaphor	meta_R_temporal_pole	yy	YY	0.09202127845775625	35
sub-10	meta_metaphor	meta_R_temporal_pole	kj	KJ	-0.07574077209512409	35
sub-11	meta_metaphor	meta_L_AG	yy	YY	-0.07623485911642483	35
sub-11	meta_metaphor	meta_L_AG	kj	KJ	-0.2725678030445061	35
sub-11	meta_metaphor	meta_L_IFG	yy	YY	0.2399165300153774	35
sub-11	meta_metaphor	meta_L_IFG	kj	KJ	0.19384526733999724	35
sub-11	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	0.2842513355881227	35
sub-11	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	0.26139553426390183	35
sub-11	meta_metaphor	meta_L_temporal_pole	yy	YY	-0.018657723520015712	35
sub-11	meta_metaphor	meta_L_temporal_pole	kj	KJ	0.03533367582750664	35
sub-11	meta_metaphor	meta_R_AG	yy	YY	0.21378518936985813	35
sub-11	meta_metaphor	meta_R_AG	kj	KJ	0.12265252437104651	35
sub-11	meta_metaphor	meta_R_IFG	yy	YY	0.20678683434576853	35
sub-11	meta_metaphor	meta_R_IFG	kj	KJ	0.21531606143426796	35
sub-11	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	-0.011190622203879197	35
sub-11	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	-0.003509650947630364	35
sub-11	meta_metaphor	meta_R_temporal_pole	yy	YY	-0.03569206471845384	35
sub-11	meta_metaphor	meta_R_temporal_pole	kj	KJ	-0.06204585663144187	35
sub-12	meta_metaphor	meta_L_AG	yy	YY	0.2098627023320059	35
sub-12	meta_metaphor	meta_L_AG	kj	KJ	0.173127065884037	35
sub-12	meta_metaphor	meta_L_IFG	yy	YY	0.11224440417018908	35
sub-12	meta_metaphor	meta_L_IFG	kj	KJ	0.08186662270366375	35
sub-12	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	0.22941498119250506	35
sub-12	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	0.249779404834646	35
sub-12	meta_metaphor	meta_L_temporal_pole	yy	YY	0.07083434175735012	35
sub-12	meta_metaphor	meta_L_temporal_pole	kj	KJ	0.20727494069714528	35
sub-12	meta_metaphor	meta_R_AG	yy	YY	0.06363007391325043	35
sub-12	meta_metaphor	meta_R_AG	kj	KJ	-0.032397547596897766	35
sub-12	meta_metaphor	meta_R_IFG	yy	YY	-0.07189632964465212	35
sub-12	meta_metaphor	meta_R_IFG	kj	KJ	0.03802754758487446	35
sub-12	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	0.09725463282355763	35
sub-12	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	0.004883205957675793	35
sub-12	meta_metaphor	meta_R_temporal_pole	yy	YY	-0.0051375905091799266	35
sub-12	meta_metaphor	meta_R_temporal_pole	kj	KJ	-0.002679440633012914	35
sub-13	meta_metaphor	meta_L_AG	yy	YY	0.028807571169345986	35
sub-13	meta_metaphor	meta_L_AG	kj	KJ	0.016517751509633558	35
sub-13	meta_metaphor	meta_L_IFG	yy	YY	0.0732706386819089	35
sub-13	meta_metaphor	meta_L_IFG	kj	KJ	0.09971376281345071	35
sub-13	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	-0.05200410970049089	35
sub-13	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	0.007013877567178055	35
sub-13	meta_metaphor	meta_L_temporal_pole	yy	YY	-0.13711309670960603	35
sub-13	meta_metaphor	meta_L_temporal_pole	kj	KJ	-0.00834704180050175	35
sub-13	meta_metaphor	meta_R_AG	yy	YY	0.14511135525712715	35
sub-13	meta_metaphor	meta_R_AG	kj	KJ	0.15320461047690648	35
sub-13	meta_metaphor	meta_R_IFG	yy	YY	-0.07621219331536767	35
sub-13	meta_metaphor	meta_R_IFG	kj	KJ	-0.09640444801219596	35
sub-13	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	0.1429106308681397	35
sub-13	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	0.19799285350659349	35
sub-13	meta_metaphor	meta_R_temporal_pole	yy	YY	-0.06068368315921352	35
sub-13	meta_metaphor	meta_R_temporal_pole	kj	KJ	-0.09160000439488052	35
sub-14	meta_metaphor	meta_L_AG	yy	YY	-0.00688135573051159	35
sub-14	meta_metaphor	meta_L_AG	kj	KJ	-0.05651812318664877	35
sub-14	meta_metaphor	meta_L_IFG	yy	YY	-0.07021233855254295	35
sub-14	meta_metaphor	meta_L_IFG	kj	KJ	0.13590304279236923	35
sub-14	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	0.054140004546317004	35
sub-14	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	-0.01903547701822314	35
sub-14	meta_metaphor	meta_L_temporal_pole	yy	YY	-0.15056353769502334	35
sub-14	meta_metaphor	meta_L_temporal_pole	kj	KJ	0.1070226968150208	35
sub-14	meta_metaphor	meta_R_AG	yy	YY	0.018057836838469666	35
sub-14	meta_metaphor	meta_R_AG	kj	KJ	-0.08918346873384932	35
sub-14	meta_metaphor	meta_R_IFG	yy	YY	0.07735660225058896	35
sub-14	meta_metaphor	meta_R_IFG	kj	KJ	-0.0016709928566497113	35
sub-14	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	0.11863457198399008	35
sub-14	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	0.02436354837208053	35
sub-14	meta_metaphor	meta_R_temporal_pole	yy	YY	0.10751594848980107	35
